model,metric,group,n,mean,std,ci95_low,ci95_high
resnet18,macro_recall,D,5,0.7108464784846114,0.028462198247996513,0.6755059916103358,0.746186965358887
resnet18,macro_recall,E,5,0.734336451586664,0.02055283844624559,0.7088167320270626,0.7598561711462655
resnet18,macro_recall,F,5,0.7213417904363069,0.022803475206328166,0.693027536238677,0.7496560446339368
resnet18,macro_recall,G,5,0.732611370925276,0.013880331960839331,0.7153766624463846,0.7498460794041673
resnet18,macro_recall,H,5,0.7351184510223832,0.022261159926869355,0.7074775701829331,0.7627593318618332
resnet18,macro_recall,I,5,0.7430557142567131,0.012772936935075231,0.7271960183131031,0.7589154102003232
resnet18,macro_recall,baseline,5,0.740567393810282,0.03195055095719053,0.7008955449639637,0.7802392426566004
resnet50,accuracy,A,5,0.8907092907092906,0.005977332787872776,0.8832874517813061,0.8981311296372751
resnet50,accuracy,B,5,0.8965034965034965,0.0056335153565920705,0.8895085633018881,0.9034984297051049
resnet50,accuracy,C,5,0.8857142857142858,0.003431681126337221,0.8814532908063976,0.889975280622174
resnet50,accuracy,D,5,0.8959040959040958,0.006716378147441192,0.8875646109600955,0.9042435808480961
resnet50,accuracy,E,5,0.8865134865134866,0.006222741859099847,0.8787869319769267,0.8942400410500465
resnet50,accuracy,F,5,0.8927072927072928,0.007014381491125649,0.8839977877400952,0.9014167976744903
resnet50,accuracy,G,5,0.8915084915084914,0.004155171696920167,0.8863491644060704,0.8966678186109125
resnet50,accuracy,H,5,0.8895104895104895,0.006978720957671512,0.8808452629438387,0.8981757160771403
resnet50,accuracy,I,5,0.8921078921078921,0.005562202160669344,0.8852015059342577,0.8990142782815265
resnet50,accuracy,baseline,5,0.8933066933066932,0.006294499101707638,0.8854910403853768,0.9011223462280096
resnet50,balanced_accuracy,A,5,0.7670309389920528,0.012964629385394902,0.7509332254341533,0.7831286525499522
resnet50,balanced_accuracy,B,5,0.7649340829736145,0.009421482257525208,0.75323576764473,0.7766323983024991
resnet50,balanced_accuracy,C,5,0.7579296614603941,0.009355080307328435,0.7463137950424793,0.7695455278783089
resnet50,balanced_accuracy,D,5,0.7896289569239255,0.011956856139987045,0.7747825591232019,0.8044753547246491
resnet50,balanced_accuracy,E,5,0.7682821530731703,0.0289802151000266,0.7322984633232661,0.8042658428230745
resnet50,balanced_accuracy,F,5,0.7624136053455061,0.022762917177233152,0.7341497105924415,0.7906775000985706
resnet50,balanced_accuracy,G,5,0.7656410583072426,0.008528337980714855,0.7550517280720752,0.77623038854241
resnet50,balanced_accuracy,H,5,0.7804252439521048,0.02322043285698972,0.7515932684508728,0.8092572194533367
resnet50,balanced_accuracy,I,5,0.7814038326916467,0.017936440175664155,0.7591328006695889,0.8036748647137045
resnet50,balanced_accuracy,baseline,5,0.7721633337352075,0.016825504095394458,0.7512717110483262,0.7930549564220888
resnet50,macro_auc_ovr,A,5,0.9831304085707278,0.002896151152759309,0.9795343619509902,0.9867264551904653
resnet50,macro_auc_ovr,B,5,0.9802069564754445,0.002504340554070434,0.9770974069702136,0.9833165059806754
resnet50,macro_auc_ovr,C,5,0.9808052362412424,0.0012062084327870628,0.9793075306559209,0.9823029418265639
resnet50,macro_auc_ovr,D,5,0.9802815283793572,0.0022633393075875492,0.9774712214454063,0.9830918353133081
resnet50,macro_auc_ovr,E,5,0.981637858598161,0.0016590171208484016,0.9795779167667998,0.9836978004295222
resnet50,macro_auc_ovr,F,5,0.980143668493221,0.0013501269423083914,0.9784672644759517,0.9818200725104903
resnet50,macro_auc_ovr,G,5,0.9800473348033982,0.0012960797826435417,0.9784380391984899,0.9816566304083065
resnet50,macro_auc_ovr,H,5,0.9822296126598768,0.0015309765607019652,0.9803286541823594,0.9841305711373943
resnet50,macro_auc_ovr,I,5,0.9819656419283177,0.0023149909215382574,0.9790912010448751,0.9848400828117603
resnet50,macro_auc_ovr,baseline,5,0.9808116436524497,0.0016583258629983273,0.9787525601310745,0.9828707271738248
resnet50,macro_f1,A,5,0.7974384529281556,0.008774674425021124,0.7865432555986476,0.8083336502576637
